Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
21PVKUG_KFM,52AW00/21REKUP:21PVKUG_KFM.PNT\hist00,,,,,,,,0,4,,,,,,
21PVKUN_KF,52AW00/21REKUP:21PVKUN_KF.PNT\hist00,,,,,,,,0,8,,,,,,
21PVKUN_KFD,52AW00/21REKUP:21PVKUN_KFD.PNT\hist00,,,,,,,,0,8,,,,,,
21PVKUN_KFM,52AW00/21REKUP:21PVKUN_KFM.PNT\hist00,,,,,,,,0,8,,,,,,
21T101_4,52AW00/21REKUP:21T101_4.PNT\hist00,,,,,,,,0,400,,,,,,
21T101_5,52AW00/21REKUP:21T101_5.PNT\hist00,,,,,,,,0,400,,,,,,
21T101_6,52AW00/21REKUP:21T101_6.PNT\hist00,,,,,,,,0,400,,,,,,
21T114_1,52AW00/21REKUP:21T114_1.PNT\hist00,,,,,,,,0,400,,,,,,
21T114_2,52AW00/21REKUP:21T114_2.PNT\hist00,,,,,,,,0,400,,,,,,
21T114_3,52AW00/21REKUP:21T114_3.PNT\hist00,,,,,,,,0,400,,,,,,
21T114_4,52AW00/21REKUP:21T114_4.PNT\hist00,,,,,,,,0,400,,,,,,
21T114_5,52AW00/21REKUP:21T114_5.PNT\hist00,,,,,,,,0,400,,,,,,
21T114_6,52AW00/21REKUP:21T114_6.PNT\hist00,,,,,,,,0,400,,,,,,
21T173_4,52AW00/21REKUP:21T173_4.PNT\hist00,,,,,,,,0,600,,,,,,
21T174,52AW00/21REKUP:21T174.PNT\hist00,,,,,,,,0,1100,,,,,,
21T183,52AW00/21REKUP:21T183.PNT\hist00,,,,,,,,0,1100,,,,,,
21NH3TH_F,52AW00/21SBS_AO:21NH3TH_F.PNT\hist00,,,,,,,,0,8000,,,,,,
21NH3TH_FM,52AW00/21SBS_AO:21NH3TH_FM.PNT\hist00,,,,,,,,0,6300,,,,,,
21NH3TH_FQD,52AW00/21SBS_AO:21NH3TH_FQD.PNT\hist00,,,,,,,,0,180,,,,,,
21NH3TH_FQDM,52AW00/21SBS_AO:21NH3TH_FQDM.PNT\hist00,,,,,,,,0,125,,,,,,
21NH3TH_FQM,52AW00/21SBS_AO:21NH3TH_FQM.PNT\hist00,,,,,,,,0,5500,,,,,,
21NH3TH_FQMM,52AW00/21SBS_AO:21NH3TH_FQMM.PNT\hist00,,,,,,,,0,4000,,,,,,
21NH3TH_KF,52AW00/21SBS_AO:21NH3TH_KF.PNT\hist00,,,,,,,,0,1000,,,,,,
21NH3TH_KFD,52AW00/21SBS_AO:21NH3TH_KFD.PNT\hist00,,,,,,,,0,1000,,,,,,
21NH3TH_KFM,52AW00/21SBS_AO:21NH3TH_KFM.PNT\hist00,,,,,,,,0,1000,,,,,,
21OV123_F,52AW00/21SBS_AO:21OV123_F.PNT\hist00,,,,,,,,0,2000,,,,,,
21OV123_FQD,52AW00/21SBS_AO:21OV123_FQD.PNT\hist00,,,,,,,,0,50,,,,,,
21OV123_FQM,52AW00/21SBS_AO:21OV123_FQM.PNT\hist00,,,,,,,,0,1250,,,,,,
21OV123_KF,52AW00/21SBS_AO:21OV123_KF.PNT\hist00,,,,,,,,0,500,,,,,,
21OV123_KFD,52AW00/21SBS_AO:21OV123_KFD.PNT\hist00,,,,,,,,0,500,,,,,,
21OV123_KFM,52AW00/21SBS_AO:21OV123_KFM.PNT\hist00,,,,,,,,0,500,,,,,,
