Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
52F103,52AW00/52ABSOR:52F103.PNT\hist00,,,,,,,,0,15157.859375,,,,,,
52F105,52AW00/52ABSOR:52F105.PNT\hist00,,,,,,,,0,25,,,,,,
52F111_1,52AW00/52ABSOR:52F111_1.PNT\hist00,,,,,,,,0,1000,,,,,,
52F111_2,52AW00/52ABSOR:52F111_2.PNT\hist00,,,,,,,,0,630,,,,,,
52FC104,52AW00/52ABSOR:52FC104.PNT\hist00,,,,,,,,0,6289.58984375,,,,,,
52FC110,52AW00/52ABSOR:52FC110.PNT\hist00,,,,,,,,0,10,,,,,,
52FCC104,52AW00/52ABSOR:52FCC104.MEAS\hist00,,,,,,,,0,6289.58984375,,,,,,
52FCC104,52AW00/52ABSOR:52FCC104.SPT\hist00,,,,,,,,0,6289.58984375,,,,,,
52FCC104,52AW00/52ABSOR:52FCC104.OUT\hist00,,,,,,,,0,100,,,,,,
52FCC110,52AW00/52ABSOR:52FCC110.MEAS\hist00,,,,,,,,0,10,,,,,,
52FCC110,52AW00/52ABSOR:52FCC110.SPT\hist00,,,,,,,,0,10,,,,,,
52FCC110,52AW00/52ABSOR:52FCC110.OUT\hist00,,,,,,,,0,100,,,,,,
52FCV104,52AW00/52ABSOR:52FCV104.OUT\hist00,,,,,,,,0,100,,,,,,
52FCV110,52AW00/52ABSOR:52FCV110.OUT\hist00,,,,,,,,0,100,,,,,,
52LC105,52AW00/52ABSOR:52LC105.PNT\hist00,,,,,,,,430,830,,,,,,
52LCC105,52AW00/52ABSOR:52LCC105.MEAS\hist00,,,,,,,,430,830,,,,,,
52LCC105,52AW00/52ABSOR:52LCC105.SPT\hist00,,,,,,,,430,830,,,,,,
52LCC105,52AW00/52ABSOR:52LCC105.OUT\hist00,,,,,,,,0,100,,,,,,
52LCV105,52AW00/52ABSOR:52LCV105.OUT\hist00,,,,,,,,0,100,,,,,,
52Q105,52AW00/52ABSOR:52Q105.PNT\hist00,,,,,,,,50,60,,,,,,
52T108_1,52AW00/52ABSOR:52T108_1.PNT\hist00,,,,,,,,0,150,,,,,,
52T108_2,52AW00/52ABSOR:52T108_2.PNT\hist00,,,,,,,,0,150,,,,,,
52T108_3,52AW00/52ABSOR:52T108_3.PNT\hist00,,,,,,,,0,150,,,,,,
52T108_4,52AW00/52ABSOR:52T108_4.PNT\hist00,,,,,,,,0,150,,,,,,
52T108_5,52AW00/52ABSOR:52T108_5.PNT\hist00,,,,,,,,0,400,,,,,,
52T108_6,52AW00/52ABSOR:52T108_6.PNT\hist00,,,,,,,,0,150,,,,,,
52F113,52AW00/52GTT:52F113.PNT\hist00,,,,,,,,0,630,,,,,,
52HCV170,52AW00/52GTT:52HCV170.OUT\hist00,,,,,,,,0,100,,,,,,
52HCV170PID1,52AW00/52GTT:52HCV170PID1.MEAS\hist00,,,,,,,,0,100,,,,,,
52HCV170PID1,52AW00/52GTT:52HCV170PID1.SPT\hist00,,,,,,,,0,100,,,,,,
52HCV170PID1,52AW00/52GTT:52HCV170PID1.OUT\hist00,,,,,,,,0,100,,,,,,
52P181,52AW00/52GTT:52P181.PNT\hist00,,,,,,,,0,10,,,,,,
52SCS171_1,52AW00/52GTT:52SCS171_1.PNT\hist00,,,,,,,,0,6000,,,,,,
52SCS171_2,52AW00/52GTT:52SCS171_2.PNT\hist00,,,,,,,,0,6000,,,,,,
52SCS171_3,52AW00/52GTT:52SCS171_3.PNT\hist00,,,,,,,,0,6000,,,,,,
52T170_3,52AW00/52GTT:52T170_3.PNT\hist00,,,,,,,,0,100,,,,,,
52T170_4,52AW00/52GTT:52T170_4.PNT\hist00,,,,,,,,0,100,,,,,,
52T170_5,52AW00/52GTT:52T170_5.PNT\hist00,,,,,,,,0,100,,,,,,
52T170_6,52AW00/52GTT:52T170_6.PNT\hist00,,,,,,,,0,100,,,,,,
52T173_1,52AW00/52GTT:52T173_1.PNT\hist00,,,,,,,,0,200,,,,,,
52T173_2,52AW00/52GTT:52T173_2.PNT\hist00,,,,,,,,0,200,,,,,,
52F102,52AW00/52KONV:52F102.PNT\hist00,,,,,,,,0,64162.1875,,,,,,
52FC101,52AW00/52KONV:52FC101.PNT\hist00,,,,,,,,0,7973.27978516,,,,,,
52FFCV101,52AW00/52KONV:52FFCV101.OUT\hist00,,,,,,,,0,100,,,,,,
52FS101,52AW00/52KONV:52FS101.PNT\hist00,,,,,,,,0,7973.27978516,,,,,,
52FS102,52AW00/52KONV:52FS102.PNT\hist00,,,,,,,,0,64162.1875,,,,,,
52G101,52AW00/52KONV:52G101.PNT\hist00,,,,,,,,0,100,,,,,,
52P101A,52AW00/52KONV:52P101A.PNT\hist00,,,,,,,,0,10,,,,,,
52P101B,52AW00/52KONV:52P101B.PNT\hist00,,,,,,,,0,10,,,,,,
52P127A,52AW00/52KONV:52P127A.PNT\hist00,,,,,,,,0,10,,,,,,
52P127B,52AW00/52KONV:52P127B.PNT\hist00,,,,,,,,0,10,,,,,,
52P128,52AW00/52KONV:52P128.PNT\hist00,,,,,,,,0,10,,,,,,
52QC101AIN1,52AW00/52KONV:52QC101AIN1.PNT\hist00,,,,,,,,0,12,,,,,,
52QC101AIN2,52AW00/52KONV:52QC101AIN2.PNT\hist00,,,,,,,,0,12,,,,,,
52QC101PIDFA,52AW00/52KONV:52QC101PIDFA.MEAS\hist00,,,,,,,,0,7973.27978516,,,,,,
52QC101PIDFA,52AW00/52KONV:52QC101PIDFA.SPT\hist00,,,,,,,,0,7973.27978516,,,,,,
52QC101PIDFA,52AW00/52KONV:52QC101PIDFA.OUT\hist00,,,,,,,,0,100,,,,,,
52QC101PIDQA,52AW00/52KONV:52QC101PIDQA.MEAS\hist00,,,,,,,,0,12,,,,,,
52QC101PIDQA,52AW00/52KONV:52QC101PIDQA.SPT\hist00,,,,,,,,0,12,,,,,,
52QC101PIDQA,52AW00/52KONV:52QC101PIDQA.OUT\hist00,,,,,,,,0,7973.27978516,,,,,,
52T101A,52AW00/52KONV:52T101A.PNT\hist00,,,,,,,,0,200,,,,,,
52T101B,52AW00/52KONV:52T101B.PNT\hist00,,,,,,,,0,200,,,,,,
52T103,52AW00/52KONV:52T103.PNT\hist00,,,,,,,,0,400,,,,,,
52T127A,52AW00/52KONV:52T127A.PNT\hist00,,,,,,,,0,200,,,,,,
52T127B,52AW00/52KONV:52T127B.PNT\hist00,,,,,,,,0,200,,,,,,
52TS102PID_T,52AW00/52KONV:52TS102PID_T.MEAS\hist00,,,,,,,,0,1100,,,,,,
52TS102PID_T,52AW00/52KONV:52TS102PID_T.SPT\hist00,,,,,,,,0,1100,,,,,,
52TS102PID_T,52AW00/52KONV:52TS102PID_T.OUT\hist00,,,,,,,,0,12,,,,,,
52TS102_1,52AW00/52KONV:52TS102_1.PNT\hist00,,,,,,,,0,1100,,,,,,
52TS102_2,52AW00/52KONV:52TS102_2.PNT\hist00,,,,,,,,0,1100,,,,,,
52TS102_3,52AW00/52KONV:52TS102_3.PNT\hist00,,,,,,,,0,1100,,,,,,
52P176,52AW00/52MASLO:52P176.PNT\hist00,,,,,,,,0,10,,,,,,
52T170_1,52AW00/52MASLO:52T170_1.PNT\hist00,,,,,,,,0,100,,,,,,
52T170_2,52AW00/52MASLO:52T170_2.PNT\hist00,,,,,,,,0,100,,,,,,
52HCV101,52AW00/52NH3:52HCV101.OUT\hist00,,,,,,,,0,100,,,,,,
52HCV101PID1,52AW00/52NH3:52HCV101PID1.MEAS\hist00,,,,,,,,0,100,,,,,,
52HCV101PID1,52AW00/52NH3:52HCV101PID1.SPT\hist00,,,,,,,,0,100,,,,,,
52HCV101PID1,52AW00/52NH3:52HCV101PID1.OUT\hist00,,,,,,,,0,100,,,,,,
52LC108,52AW00/52NH3:52LC108.PNT\hist00,,,,,,,,700,1100,,,,,,
52LCC108,52AW00/52NH3:52LCC108.MEAS\hist00,,,,,,,,700,1100,,,,,,
52LCC108,52AW00/52NH3:52LCC108.SPT\hist00,,,,,,,,700,1100,,,,,,
52LCC108,52AW00/52NH3:52LCC108.OUT\hist00,,,,,,,,0,100,,,,,,
52LCV108,52AW00/52NH3:52LCV108.OUT\hist00,,,,,,,,0,100,,,,,,
52PC110,52AW00/52NH3:52PC110.PNT\hist00,,,,,,,,0,25,,,,,,
52PCC110,52AW00/52NH3:52PCC110.MEAS\hist00,,,,,,,,0,25,,,,,,
52PCC110,52AW00/52NH3:52PCC110.SPT\hist00,,,,,,,,0,25,,,,,,
52PCC110,52AW00/52NH3:52PCC110.OUT\hist00,,,,,,,,0,100,,,,,,
52PCV110,52AW00/52NH3:52PCV110.OUT\hist00,,,,,,,,0,100,,,,,,
52TC112,52AW00/52NH3:52TC112.PNT\hist00,,,,,,,,0,200,,,,,,
52TCC112PID1,52AW00/52NH3:52TCC112PID1.MEAS\hist00,,,,,,,,0,200,,,,,,
52TCC112PID1,52AW00/52NH3:52TCC112PID1.SPT\hist00,,,,,,,,0,200,,,,,,
52TCC112PID1,52AW00/52NH3:52TCC112PID1.OUT\hist00,,,,,,,,0,100,,,,,,
52TCV112,52AW00/52NH3:52TCV112.OUT\hist00,,,,,,,,0,100,,,,,,
52TS112,52AW00/52NH3:52TS112.PNT\hist00,,,,,,,,0,200,,,,,,
52FC106,52AW00/52OXG:52FC106.PNT\hist00,,,,,,,,0,80,,,,,,
52FCC106,52AW00/52OXG:52FCC106.MEAS\hist00,,,,,,,,0,80,,,,,,
52FCC106,52AW00/52OXG:52FCC106.SPT\hist00,,,,,,,,0,80,,,,,,
52FCC106,52AW00/52OXG:52FCC106.OUT\hist00,,,,,,,,0,100,,,,,,
52FCV106,52AW00/52OXG:52FCV106.OUT\hist00,,,,,,,,0,100,,,,,,
52T109_2,52AW00/52OXG:52T109_2.PNT\hist00,,,,,,,,0,400,,,,,,
52T109_4,52AW00/52OXG:52T109_4.PNT\hist00,,,,,,,,0,400,,,,,,
52T109_5,52AW00/52OXG:52T109_5.PNT\hist00,,,,,,,,0,400,,,,,,
52T109_7,52AW00/52OXG:52T109_7.PNT\hist00,,,,,,,,0,400,,,,,,
52T109_8,52AW00/52OXG:52T109_8.PNT\hist00,,,,,,,,0,400,,,,,,
52T109_9,52AW00/52OXG:52T109_9.PNT\hist00,,,,,,,,0,400,,,,,,
52PS182_1,52AW00/52PODSH_AO:52PS182_1.PNT\hist00,,,,,,,,0,6,,,,,,
52PS182_2,52AW00/52PODSH_AO:52PS182_2.PNT\hist00,,,,,,,,0,6,,,,,,
52PS183_1,52AW00/52PODSH_AO:52PS183_1.PNT\hist00,,,,,,,,0,6,,,,,,
52PS183_2,52AW00/52PODSH_AO:52PS183_2.PNT\hist00,,,,,,,,0,6,,,,,,
52TS177_1,52AW00/52PODSH_AO:52TS177_1.PNT\hist00,,,,,,,,0,100,,,,,,
52TS177_2,52AW00/52PODSH_AO:52TS177_2.PNT\hist00,,,,,,,,0,100,,,,,,
52TS177_3,52AW00/52PODSH_AO:52TS177_3.PNT\hist00,,,,,,,,0,100,,,,,,
52TS177_4,52AW00/52PODSH_AO:52TS177_4.PNT\hist00,,,,,,,,0,100,,,,,,
52TS177_5,52AW00/52PODSH_AO:52TS177_5.PNT\hist00,,,,,,,,0,100,,,,,,
52TS177_6,52AW00/52PODSH_AO:52TS177_6.PNT\hist00,,,,,,,,0,100,,,,,,
52TS177_7,52AW00/52PODSH_AO:52TS177_7.PNT\hist00,,,,,,,,0,100,,,,,,
52TS177_8,52AW00/52PODSH_AO:52TS177_8.PNT\hist00,,,,,,,,0,100,,,,,,
52TS178_1,52AW00/52PODSH_AO:52TS178_1.PNT\hist00,,,,,,,,0,100,,,,,,
52TS178_2,52AW00/52PODSH_AO:52TS178_2.PNT\hist00,,,,,,,,0,100,,,,,,
52TS178_3,52AW00/52PODSH_AO:52TS178_3.PNT\hist00,,,,,,,,0,100,,,,,,
52TS178_4,52AW00/52PODSH_AO:52TS178_4.PNT\hist00,,,,,,,,0,100,,,,,,
52TS178_5,52AW00/52PODSH_AO:52TS178_5.PNT\hist00,,,,,,,,0,100,,,,,,
52TS178_6,52AW00/52PODSH_AO:52TS178_6.PNT\hist00,,,,,,,,0,100,,,,,,
52TS178_7,52AW00/52PODSH_AO:52TS178_7.PNT\hist00,,,,,,,,0,100,,,,,,
52TS179_1,52AW00/52PODSH_AO:52TS179_1.PNT\hist00,,,,,,,,0,100,,,,,,
52TS179_2,52AW00/52PODSH_AO:52TS179_2.PNT\hist00,,,,,,,,0,100,,,,,,
52TS179_3,52AW00/52PODSH_AO:52TS179_3.PNT\hist00,,,,,,,,0,100,,,,,,
52EA_RD,52AW00/52RD:52EA_RD.PNT\hist00,,,,,,,,-1500,1500,,,,,,
52GGRS_PIDSC,52AW00/52RD:52GGRS_PIDSC.MEAS\hist00,,,,,,,,0,100,,,,,,
52GGRS_PIDSC,52AW00/52RD:52GGRS_PIDSC.SPT\hist00,,,,,,,,0,100,,,,,,
52GGRS_PIDSC,52AW00/52RD:52GGRS_PIDSC.OUT\hist00,,,,,,,,0,100,,,,,,
52IA_RD,52AW00/52RD:52IA_RD.PNT\hist00,,,,,,,,0,150,,,,,,
52P193,52AW00/52RD:52P193.PNT\hist00,,,,,,,,0,1000,,,,,,
52T192,52AW00/52RD:52T192.PNT\hist00,,,,,,,,0,100,,,,,,
52F132,52AW00/52REKUP:52F132.PNT\hist00,,,,,,,,0,12.51257992,,,,,,
52F133,52AW00/52REKUP:52F133.PNT\hist00,,,,,,,,0,40.06588745,,,,,,
52LC130,52AW00/52REKUP:52LC130.PNT\hist00,,,,,,,,-315,315,,,,,,
52LC131,52AW00/52REKUP:52LC131.PNT\hist00,,,,,,,,-315,315,,,,,,
52LCC130,52AW00/52REKUP:52LCC130.MEAS\hist00,,,,,,,,-315,315,,,,,,
52LCC130,52AW00/52REKUP:52LCC130.SPT\hist00,,,,,,,,-315,315,,,,,,
52LCC130,52AW00/52REKUP:52LCC130.OUT\hist00,,,,,,,,0,100,,,,,,
52LCC131PID1,52AW00/52REKUP:52LCC131PID1.MEAS\hist00,,,,,,,,-315,315,,,,,,
52LCC131PID1,52AW00/52REKUP:52LCC131PID1.SPT\hist00,,,,,,,,-315,315,,,,,,
52LCC131PID1,52AW00/52REKUP:52LCC131PID1.OUT\hist00,,,,,,,,0,100,,,,,,
52LCV130,52AW00/52REKUP:52LCV130.OUT\hist00,,,,,,,,0,100,,,,,,
52LCV131,52AW00/52REKUP:52LCV131.OUT\hist00,,,,,,,,0,100,,,,,,
52P135,52AW00/52REKUP:52P135.PNT\hist00,,,,,,,,0,25,,,,,,
52P136,52AW00/52REKUP:52P136.PNT\hist00,,,,,,,,0,25,,,,,,
52PD170,52AW00/52REKUP:52PD170.PNT\hist00,,,,,,,,0,2.5,,,,,,
52T101_4,52AW00/52REKUP:52T101_4.PNT\hist00,,,,,,,,0,400,,,,,,
52T101_5,52AW00/52REKUP:52T101_5.PNT\hist00,,,,,,,,0,400,,,,,,
52T101_6,52AW00/52REKUP:52T101_6.PNT\hist00,,,,,,,,0,400,,,,,,
52T114_1,52AW00/52REKUP:52T114_1.PNT\hist00,,,,,,,,0,400,,,,,,
52T114_2,52AW00/52REKUP:52T114_2.PNT\hist00,,,,,,,,0,400,,,,,,
52T114_3,52AW00/52REKUP:52T114_3.PNT\hist00,,,,,,,,0,400,,,,,,
52T114_4,52AW00/52REKUP:52T114_4.PNT\hist00,,,,,,,,0,400,,,,,,
52T114_5,52AW00/52REKUP:52T114_5.PNT\hist00,,,,,,,,0,400,,,,,,
52T114_6,52AW00/52REKUP:52T114_6.PNT\hist00,,,,,,,,0,400,,,,,,
52T173_4,52AW00/52REKUP:52T173_4.PNT\hist00,,,,,,,,0,600,,,,,,
52T174,52AW00/52REKUP:52T174.PNT\hist00,,,,,,,,0,1100,,,,,,
52T183,52AW00/52REKUP:52T183.PNT\hist00,,,,,,,,0,1100,,,,,,
52PS178,52AW00/52SBS_AO:52PS178.PNT\hist00,,,,,,,,0,16,,,,,,
52PS179,52AW00/52SBS_AO:52PS179.PNT\hist00,,,,,,,,0,1.60000002,,,,,,
52PS180,52AW00/52SBS_AO:52PS180.PNT\hist00,,,,,,,,0,3,,,,,,
52LS131,52AW00/52SBS_AOK:52LS131.PNT\hist00,,,,,,,,-315,315,,,,,,
52TS101,52AW00/52SBS_AOK:52TS101.PNT\hist00,,,,,,,,0,400,,,,,,
52TS174,52AW00/52SBS_AOK:52TS174.PNT\hist00,,,,,,,,0,1100,,,,,,
52FC107,52AW00/52UKST:52FC107.PNT\hist00,,,,,,,,0,16000,,,,,,
52FC171,52AW00/52UKST:52FC171.PNT\hist00,,,,,,,,0,2500,,,,,,
52FCC_AINF,52AW00/52UKST:52FCC_AINF.PNT\hist00,,,,,,,,0,2000,,,,,,
52FCC_AINR,52AW00/52UKST:52FCC_AINR.PNT\hist00,,,,,,,,0.64999998,0.70999998,,,,,,
52FCC_PIDFC,52AW00/52UKST:52FCC_PIDFC.MEAS\hist00,,,,,,,,0,2000,,,,,,
52FCC_PIDFC,52AW00/52UKST:52FCC_PIDFC.SPT\hist00,,,,,,,,0,2000,,,,,,
52FCC_PIDFC,52AW00/52UKST:52FCC_PIDFC.OUT\hist00,,,,,,,,0,100,,,,,,
52FCC_PIDSC,52AW00/52UKST:52FCC_PIDSC.MEAS\hist00,,,,,,,,0,6000,,,,,,
52FCC_PIDSC,52AW00/52UKST:52FCC_PIDSC.SPT\hist00,,,,,,,,0,6000,,,,,,
52FCC_PIDSC,52AW00/52UKST:52FCC_PIDSC.OUT\hist00,,,,,,,,0,100,,,,,,
52FCC_PIDT1,52AW00/52UKST:52FCC_PIDT1.MEAS\hist00,,,,,,,,0,1100,,,,,,
52FCC_PIDT1,52AW00/52UKST:52FCC_PIDT1.SPT\hist00,,,,,,,,0,1100,,,,,,
52FCC_PIDT1,52AW00/52UKST:52FCC_PIDT1.OUT\hist00,,,,,,,,0,2000,,,,,,
52FCC_PIDT2,52AW00/52UKST:52FCC_PIDT2.MEAS\hist00,,,,,,,,0,1100,,,,,,
52FCC_PIDT2,52AW00/52UKST:52FCC_PIDT2.SPT\hist00,,,,,,,,0,1100,,,,,,
52FCC_PIDT2,52AW00/52UKST:52FCC_PIDT2.OUT\hist00,,,,,,,,0,100,,,,,,
52FFC_PID1,52AW00/52UKST:52FFC_PID1.MEAS\hist00,,,,,,,,0,20000,,,,,,
52FFC_PID1,52AW00/52UKST:52FFC_PID1.SPT\hist00,,,,,,,,0,20000,,,,,,
52FFC_PID1,52AW00/52UKST:52FFC_PID1.OUT\hist00,,,,,,,,0,100,,,,,,
