Tag Name;Address;Data Type;Respect Data Type;Client Access;Scan Rate;Scaling;Raw Low;Raw High;Scaled Low;Scaled High;Scaled Data Type;Clamp Low;Clamp High;Eng Units;Description;Negate Value
32TS177_8;52AW00/32PODSH_AO:32TS177_8.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника редуктора;
32TS178_1;52AW00/32PODSH_AO:32TS178_1.PNT\hist00;;;;;;;;0;100;;;;град.С;Т опор. Подшипника компрессора;
32TS178_2;52AW00/32PODSH_AO:32TS178_2.PNT\hist00;;;;;;;;0;100;;;;град.С;Т опор. Подшипника турбины;
32TS178_3;52AW00/32PODSH_AO:32TS178_3.PNT\hist00;;;;;;;;0;100;;;;град.С;Т упор. Подшипника турбины;
32TS178_4;52AW00/32PODSH_AO:32TS178_4.PNT\hist00;;;;;;;;0;100;;;;град.С;Т упор. Подшипника турбины;
32TS178_5;52AW00/32PODSH_AO:32TS178_5.PNT\hist00;;;;;;;;0;100;;;;град.С;Т перед. Подшип-ка нагнетателя;
32TS178_6;52AW00/32PODSH_AO:32TS178_6.PNT\hist00;;;;;;;;0;100;;;;град.С;Т упор. Подшипника нагнетателя;
32TS178_7;52AW00/32PODSH_AO:32TS178_7.PNT\hist00;;;;;;;;0;100;;;;град.С;Т задн. Подшипника нагнетателя;
32TS179_1;52AW00/32PODSH_AO:32TS179_1.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника РД;
32TS179_2;52AW00/32PODSH_AO:32TS179_2.PNT\hist00;;;;;;;;0;100;;;;град.С;Т подшипника РД;
32TS179_3;52AW00/32PODSH_AO:32TS179_3.PNT\hist00;;;;;;;;0;100;;;;град.С;Т обмотки статора РД;
32EA_RD;52AW00/32RD:32EA_RD.PNT\hist00;;;;;;;;-1500;1500;;;;квт;Мощность  РД;
32IA_RD;52AW00/32RD:32IA_RD.PNT\hist00;;;;;;;;0;150;;;;А;Ток статора  РД;
32P193;52AW00/32RD:32P193.PNT\hist00;;;;;;;;0;1000;;;;мм;"Положение экранов ЖРС ";
32T192;52AW00/32RD:32T192.PNT\hist00;;;;;;;;0;100;;;;град.С;Т электролита  ЖРС;
32F132;52AW00/32REKUP:32F132.PNT\hist00;;;;;;;;0;12.51230;;;;м3/ч;F пит. Воды в КУГ;
32F133;52AW00/32REKUP:32F133.PNT\hist00;;;;;;;;0;39.56160;;;;м3/ч;Fпит. Воды в КУН;
32T174;52AW00/32REKUP:32T174.PNT\hist00;;;;;;;;0;1100;;;;град.С;Т ОХГ  перед ГТТ;
32LC130;52AW00/32REKUP:32LC130.PNT\hist00;;;;;;;;-315;315;;;;мм;Рег.L пит. Воды в КУГ;
32LCV130;52AW00/32REKUP:32LCV130.PNT\hist00;;;;;;;;0;100;;;;%;Рег.Клап.L  в КУГ;
32LC131;52AW00/32REKUP:32LC131.PNT\hist00;;;;;;;;-315;315;;;;мм;Рег.L пит. Воды в КУН;
32LCV131;52AW00/32REKUP:32LCV131.PNT\hist00;;;;;;;;0;100;;;;%;Рег.Клап.L  в КУН;
32P135;52AW00/32REKUP:32P135.PNT\hist00;;;;;;;;0;20;;;;кг/см2;Р перег. пара из КУН;
32P136;52AW00/32REKUP:32P136.PNT\hist00;;;;;;;;0;20;;;;кг/см2;Р перег. пара из КУГ;
32PD170;52AW00/32REKUP:32PD170.PNT\hist00;;;;;;;;0;2,5;;;;кг/см2;Пер.Р Возд./ХГ Нагн.1г/ГТТ;
32T101_4;52AW00/32REKUP:32T101_4.PNT\hist00;;;;;;;;0;400;;;;град.С;Т перег. пара из КУН;
32T101_5;52AW00/32REKUP:32T101_5.PNT\hist00;;;;;;;;0;400;;;;град.С;Т ХГ после КУГ;
32T101_6;52AW00/32REKUP:32T101_6.PNT\hist00;;;;;;;;0;400;;;;град.С;Т перег. пара из КУГ;
32T114_1;52AW00/32REKUP:32T114_1.PNT\hist00;;;;;;;;0;400;;;;град.С;Т метал.газ.камер КУН;
32T114_2;52AW00/32REKUP:32T114_2.PNT\hist00;;;;;;;;0;400;;;;град.С;Т метал.газ.камер КУН;
32T114_3;52AW00/32REKUP:32T114_3.PNT\hist00;;;;;;;;0;400;;;;град.С;Т метал.газ.камер КУН;
32T114_4;52AW00/32REKUP:32T114_4.PNT\hist00;;;;;;;;0;400;;;;град.С;Т метал.газ.камер КУН;
32T114_5;52AW00/32REKUP:32T114_5.PNT\hist00;;;;;;;;0;400;;;;град.С;Т метал.газ.камер КУН;
32T114_6;52AW00/32REKUP:32T114_6.PNT\hist00;;;;;;;;0;400;;;;град.С;Т метал.газ.камер КУН;
32T173_4;52AW00/32REKUP:32T173_4.PNT\hist00;;;;;;;;0;600;;;;град.С;Т газов  после ГТТ;
32T183;52AW00/32REKUP:32T183.PNT\hist00;;;;;;;;0;1100;;;;град.С;Т газов из УКСТ 1в;
32PS178;52AW00/32SBS_AO:32PS178.PNT\hist00;;;;;;;;0;16;;;;кг/см2;Р ПГ  до Стоп. Отсек.;
32PS179;52AW00/32SBS_AO:32PS179.PNT\hist00;;;;;;;;0;1,6;;;;кг/см2;Р масла смазки в ГТТ-3М;
32PS180;52AW00/32SBS_AO:32PS180.PNT\hist00;;;;;;;;0;3;;;;кг/см2;Р воздуха из компр. 1а;
32TS174;52AW00/32SBS_AOK:32TS174.PNT\hist00;;;;;;;;0;1100;;;;град.С;Т ОХГ Блок. перед ГТТ;
32LS131;52AW00/32SBS_AOK:32LS131.PNT\hist00;;;;;;;;-315;315;;;;мм;Авар.L пит. Воды в КУН;
32TS101;52AW00/32SBS_AOK:32TS101.PNT\hist00;;;;;;;;0;400;;;;град.С;Т АВС после смесит.3;
32FC171;52AW00/32UKST:32FC171.PNT\hist00;;;;;;;;0;1911.378;;;;м3/ч;Расход ПГ в УКСТ;
32HCV171;52AW00/32UKST:32HCV171.PNT\hist00;;;;;;;;0;100;;;;%;"Упр. РК скорости вращения турб. ";
32PD171;52AW00/32UKST:32PD171.PNT\hist00;;;;;;;;0;2500;;;;кгс/м2;Перепад ПГ в УКСТ;
32T116;52AW00/32UKST:32T116.PNT\hist00;;;;;;;;-50;50;;;;град.С;Т ПГ в УКСТ;
32FC107;52AW00/32UKST:32FC107.PNT\hist00;;;;;;;;0;15450.36;;;;м3/ч;F воздуха  в УКСТ 1в;
32HCV107;52AW00/32UKST:32HCV107.PNT\hist00;;;;;;;;0;100;;;;%;Дист.Упр.Рег.Клап. возд. в КСТ 1в;
32G171;52AW00/32UKST:32G171.PNT\hist00;;;;;;;;0;100;;;;%;"Полож. РК скорости вращения турб. ";
32P187;52AW00/32UKST:32P187.PNT\hist00;;;;;;;;0;10;;;;кг/см2;"РПГ после РК  cкорости турб. ";
42F103;52AW00/42ABSOR:42F103.PNT\hist00;;;;;;;;0;14909.43;;;;м3/ч;F доб. Воздуха НГ и прод.кол.;
42F111_1;52AW00/42ABSOR:42F111_1.PNT\hist00;;;;;;;;0;1072.343;;;;м3/ч;F об. Воды (1) на абсорб.;
42F111_2;52AW00/42ABSOR:42F111_2.PNT\hist00;;;;;;;;0;820.001;;;;м3/ч;F об. Воды (2) на абсорб.;
42FC104;52AW00/42ABSOR:42FC104.PNT\hist00;;;;;;;;0;6175.026;;;;м3/ч;Рег.F воздуха в прод.Кол.12;
42FCV104;52AW00/42ABSOR:42FCV104.PNT\hist00;;;;;;;;0;100;;;;%;Рег.Клап.F воздуха в прод.Кол.12;
42FC110;52AW00/42ABSOR:42FC110.PNT\hist00;;;;;;;;0;9.977237;;;;м3/ч;Рег.F КСП в абс.Колон.8;
42FCV110;52AW00/42ABSOR:42FCV110.PNT\hist00;;;;;;;;0;100;;;;%;Рег.Клап.F КСП в абс.Колон.8;
42F105;52AW00/42ABSOR:42F105.PNT\hist00;;;;;;;;0;25;;;;м3/ч;F кислоты с агрегата;
42Q105;52AW00/42ABSOR:42Q105.PNT\hist00;;;;;;;;50;60;;;;%;Q кислоты с агрегата;
42T108_4;52AW00/42ABSOR:42T108_4.PNT\hist00;;;;;;;;0;150;;;;град.С;Т кислоты за прод.Кол.12;
42LC105;52AW00/42ABSOR:42LC105.PNT\hist00;;;;;;;;430;830;;;;мм;Рег.L кислоты в прод.Кол.12;
42LCV105;52AW00/42ABSOR:42LCV105.PNT\hist00;;;;;;;;0;100;;;;%;Рег.Клап.L кислоты в прод.Кол.12;
42T108_1;52AW00/42ABSOR:42T108_1.PNT\hist00;;;;;;;;0;150;;;;град.С;Т НГ в абс.Колон.8;
42T108_2;52AW00/42ABSOR:42T108_2.PNT\hist00;;;;;;;;0;150;;;;град.С;Т кислоты в кубе абс.кол;
42T108_3;52AW00/42ABSOR:42T108_3.PNT\hist00;;;;;;;;0;150;;;;град.С;Т ХГ Вых.подогр.6;
42T108_5;52AW00/42ABSOR:42T108_5.PNT\hist00;;;;;;;;0;400;;;;град.С;Т НГ за подогр.1;
42T108_6;52AW00/42ABSOR:42T108_6.PNT\hist00;;;;;;;;0;150;;;;град.С;Т НГ за холод.7;
42F113;52AW00/42GTT:42F113.PNT\hist00;;;;;;;;0;1038.555;;;;м3/ч;F обор. воды на ГТТ;
42P181;52AW00/42GTT:42P181.PNT\hist00;;;;;;;;0;10;;;;кг/см2;Р воздуха за нагнет 1г;
42T173_1;52AW00/42GTT:42T173_1.PNT\hist00;;;;;;;;0;200;;;;град.С;Т воздуха за нагнет 1г;
42HCV170;52AW00/42GTT:42HCV170.PNT\hist00;;;;;;;;0;100;;;;%;Дист.Упр.Рег.Клап. возд.ГТТиТехн;
42SCS171_1;52AW00/42GTT:42SCS171_1.PNT\hist00;;;;;;;;0;6000;;;;об/мин;"Регулятор Скор. вращения турб. ";
42SCS171_2;52AW00/42GTT:42SCS171_2.PNT\hist00;;;;;;;;0;6000;;;;об/мин;"Регулятор Скор. вращения турб. ";
42SCS171_3;52AW00/42GTT:42SCS171_3.PNT\hist00;;;;;;;;0;6000;;;;об/мин;"Регулятор Скор. вращения турб. ";
42T170_3;52AW00/42GTT:42T170_3.PNT\hist00;;;;;;;;0;100;;;;град.С;Т Воды до маслоохлад.;
42T170_4;52AW00/42GTT:42T170_4.PNT\hist00;;;;;;;;0;100;;;;град.С;Т Воды за маслоохлад.;
42T170_5;52AW00/42GTT:42T170_5.PNT\hist00;;;;;;;;0;100;;;;град.С;Т Воды за воздухоохл.;
42T170_6;52AW00/42GTT:42T170_6.PNT\hist00;;;;;;;;0;100;;;;град.С;Т воздуха за ВоздОхл 1д;
42T173_2;52AW00/42GTT:42T173_2.PNT\hist00;;;;;;;;0;200;;;;град.С;Т воздуха из компр. 1а;
42P128;52AW00/42KONV:42P128.PNT\hist00;;;;;;;;0;10;;;;кг/см2;Р АВС после смесит.2;
42F102;52AW00/42KONV:42F102.PNT\hist00;;;;;;;;0;61306.34;;;;м3/ч;F возд (А) в смесит. 2;
42FC101;52AW00/42KONV:42FC101.PNT\hist00;;;;;;;;0;7803.259;;;;м3/ч;F ГА в смесит. 2;
42FFCV101;52AW00/42KONV:42FFCV101.PNT\hist00;;;;;;;;0;100;;;;%;"Клап.Соотн ГА/Возд ";
